contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
AMZN240712C00170000,AMZN,2024-07-12,170.00,call,30.26,30.20,29.70,170,30.70,65,36,825,2024-07-02,0.21886,1.00000,0.00000,-0.09048,0.00000,0.04651
AMZN240712P00170000,AMZN,2024-07-12,170.00,put,0.04,0.05,0.04,173,0.06,397,413,2359,2024-07-02,0.43293,-0.01006,0.00187,-0.06897,0.00887,-0.00056
AMZN240712C00172500,AMZN,2024-07-12,172.50,call,18.15,27.42,26.65,150,28.20,66,0,21,2024-07-02,0.20063,1.00000,0.00000,-0.09181,0.00000,0.04719
AMZN240712P00172500,AMZN,2024-07-12,172.50,put,0.05,0.06,0.04,301,0.07,538,56,133,2024-07-02,0.40885,-0.01251,0.00239,-0.07859,0.01072,-0.00070
AMZN240712C00175000,AMZN,2024-07-12,175.00,call,21.74,25.45,24.25,150,26.65,150,4,441,2024-07-02,0.45092,0.96755,0.00486,-0.28737,0.02403,0.04604
AMZN240712P00175000,AMZN,2024-07-12,175.00,put,0.07,0.07,0.06,162,0.08,71,1090,1940,2024-07-02,0.38248,-0.01523,0.00303,-0.08702,0.01270,-0.00085
AMZN240712C00177500,AMZN,2024-07-12,177.50,call,20.90,22.73,22.20,155,23.25,63,24,155,2024-07-02,0.16415,1.00000,0.00000,-0.09447,0.00000,0.04856
AMZN240712P00177500,AMZN,2024-07-12,177.50,put,0.08,0.09,0.08,1,0.10,221,94,346,2024-07-02,0.36098,-0.02010,0.00407,-0.10384,0.01609,-0.00113
AMZN240712C00180000,AMZN,2024-07-12,180.00,call,20.31,20.30,19.85,149,20.75,61,39,972,2024-07-02,0.28598,0.98870,0.00313,-0.14578,0.00981,0.04861
AMZN240712P00180000,AMZN,2024-07-12,180.00,put,0.10,0.11,0.10,81,0.11,1,755,2434,2024-07-02,0.33583,-0.02562,0.00537,-0.11825,0.01975,-0.00143
AMZN240712C00182500,AMZN,2024-07-12,182.50,call,17.80,18.00,17.75,31,18.25,43,11,159,2024-07-02,0.34421,0.95167,0.00881,-0.30059,0.03323,0.04721
AMZN240712P00182500,AMZN,2024-07-12,182.50,put,0.13,0.15,0.13,297,0.16,294,334,597,2024-07-02,0.31586,-0.03550,0.00748,-0.14531,0.02588,-0.00199
AMZN240712C00185000,AMZN,2024-07-12,185.00,call,15.37,15.43,15.00,132,15.85,56,167,2094,2024-07-02,0.28080,0.95837,0.00958,-0.24496,0.02947,0.04829
AMZN240712P00185000,AMZN,2024-07-12,185.00,put,0.19,0.20,0.19,161,0.21,225,1204,3950,2024-07-02,0.29361,-0.04860,0.01037,-0.17356,0.03338,-0.00272
AMZN240712C00187500,AMZN,2024-07-12,187.50,call,13.00,13.07,12.90,36,13.25,1,130,706,2024-07-02,0.27669,0.92840,0.01492,-0.32037,0.04523,0.04729
AMZN240712P00187500,AMZN,2024-07-12,187.50,put,0.30,0.30,0.29,30,0.31,341,1028,2124,2024-07-02,0.27745,-0.07213,0.01496,-0.22245,0.04548,-0.00403
AMZN240712C00190000,AMZN,2024-07-12,190.00,call,10.90,10.78,10.55,69,11.00,29,1360,5459,2024-07-02,0.26906,0.88624,0.02162,-0.40182,0.06376,0.04561
AMZN240712P00190000,AMZN,2024-07-12,190.00,put,0.47,0.46,0.45,200,0.48,144,3041,3647,2024-07-02,0.26236,-0.10813,0.02139,-0.28263,0.06149,-0.00605
